work_id,mp_name,state,district,constituency,work_title,work_category,work_description,recommendation_date,sanction_date,start_date,expected_completion_date,actual_completion_date,status,sanctioned_amount,estimated_cost,actual_expenditure,physical_progress,financial_progress,latitude,longitude,village,ward,beneficiary_area,implementing_agency,vendor,last_update_date,completion_certificate,utilization_certificate,audit_certificate,photo_available,asset_register_entry,data_source
MPLAD-RA-2024-0001,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,Construction of Community Welfare Center at Bus Stand,Community Hall & Cultural Centers,Standard infrastructure project under MPLADS guidelines for community hall & cultural centers to improve citizen access and public amenity.,2024-02-14,2024-03-11,2024-04-16,2024-10-17,,IN_PROGRESS,2587000.0,2587000.0,1190020.0,32.6,46.0,26.929785,75.782461,Gram Gandhi Park,Ward 7,Jaipur Block 6,Public Works Department (PWD) Rural,Registered Contractor V-129 Pvt Ltd,2026-06-29,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-UT-2024-0002,Hon. Member of Parliament (Varanasi Parliamentary),Uttar Pradesh,Varanasi,Varanasi Parliamentary,"Modernization of School Boundary Wall and Playground, Ward 18",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-08-04,2024-08-24,2024-10-02,2025-04-13,2025-04-19,COMPLETED,1798000.0,1798000.0,1718543.43,100.0,100.0,25.370906,82.965705,Gram Hanuman Chowk,Ward 3,Varanasi Block 4,Zila Parishad Engineering Wing,Registered Contractor V-136 Pvt Ltd,2025-03-29,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0003,Hon. Member of Parliament (Jodhpur Parliamentary),Rajasthan,Jodhpur,Jodhpur Parliamentary,Erection of Senior Citizen Pavilion at Navodaya Vidyalaya Panchayat,Community Hall & Cultural Centers,Standard infrastructure project under MPLADS guidelines for community hall & cultural centers to improve citizen access and public amenity.,2024-08-03,2024-08-25,2024-10-02,2025-02-27,,IN_PROGRESS,2233000.0,2233000.0,1824361.0,83.4,81.7,26.248666,73.059668,Gram Ambedkar Nagar,Ward 7,Jodhpur Block 6,Zila Parishad Engineering Wing,Registered Contractor V-134 Pvt Ltd,2026-07-24,False,True,False,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0004,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,"Augmentation of Village Piped Drinking Water Scheme, Ward 24",Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-08-15,2024-09-18,2024-10-30,2025-02-09,,IN_PROGRESS,667000.0,667000.0,379523.0,52.2,56.9,26.894019,75.767302,Gram Shivaji Nagar,Ward 30,Jaipur Block 6,District Urban Development Agency (DUDA),Registered Contractor V-111 Pvt Ltd,2026-08-05,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0005,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,"Construction of Underground Drainage System at Bus Stand, Ward 4",Public Sanitation & Drainage,Standard infrastructure project under MPLADS guidelines for public sanitation & drainage to improve citizen access and public amenity.,2024-05-07,2024-06-20,2024-07-13,2025-02-06,,IN_PROGRESS,714000.0,714000.0,435540.0,58.4,61.0,26.820961,75.820563,Gram Kisan Mandi,Ward 11,Jaipur Block 4,Public Works Department (PWD) Rural,Registered Contractor V-121 Pvt Ltd,2026-07-15,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0006,Hon. Member of Parliament (Bengaluru Rural Parliamentary),Karnataka,Bengaluru Rural,Bengaluru Rural Parliamentary,Construction of Community RO Water Filtration Plant at Main Chauraha,Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-03-04,2024-04-24,2024-05-21,2024-12-10,,IN_PROGRESS,683000.0,683000.0,381797.0,43.8,55.9,13.170664,77.560018,Gram Primary Health Center,Ward 8,Bengaluru Rural Block 2,Zila Parishad Engineering Wing,Registered Contractor V-141 Pvt Ltd,2026-06-15,False,False,False,False,True,SYNTHETIC_SIMULATED
MPLAD-UT-2024-0007,Hon. Member of Parliament (Varanasi Parliamentary),Uttar Pradesh,Varanasi,Varanasi Parliamentary,"Construction of CC Road from Govt Hospital to Gandhi Park, Ward 34",Road Works,Standard infrastructure project under MPLADS guidelines for road works to improve citizen access and public amenity.,2024-06-18,2024-07-18,2024-08-27,2025-02-20,,IN_PROGRESS,1479000.0,1479000.0,400809.0,28.8,27.1,25.292983,82.899013,Gram Shastri Colony,Ward 24,Varanasi Block 1,Gram Panchayat Works Division,Registered Contractor V-120 Pvt Ltd,2026-07-27,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0008,Hon. Member of Parliament (Mysuru-Kodagu Parliamentary),Karnataka,Mysuru,Mysuru-Kodagu Parliamentary,Laying of Interlocking Tile Road at Navodaya Vidyalaya Sector 20,Road Works,Standard infrastructure project under MPLADS guidelines for road works to improve citizen access and public amenity.,2024-02-19,2024-04-08,2024-04-23,2024-10-22,,IN_PROGRESS,1676000.0,1676000.0,869844.0,37.9,51.9,12.31672,76.728982,Gram Ambedkar Nagar,Ward 7,Mysuru Block 2,District Urban Development Agency (DUDA),Registered Contractor V-156 Pvt Ltd,2026-06-19,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-KA-2024-0009,Hon. Member of Parliament (Bengaluru Rural Parliamentary),Karnataka,Bengaluru Rural,Bengaluru Rural Parliamentary,"Construction of Underground Drainage System at Ram Mandir, Ward 16",Public Sanitation & Drainage,Standard infrastructure project under MPLADS guidelines for public sanitation & drainage to improve citizen access and public amenity.,2024-06-11,2024-07-21,2024-08-20,2024-11-20,2024-11-24,COMPLETED,603000.0,603000.0,578739.63,100.0,100.0,13.228278,77.55696,Gram Hanuman Chowk,Ward 24,Bengaluru Rural Block 4,Zila Parishad Engineering Wing,Registered Contractor V-101 Pvt Ltd,2024-11-07,True,True,True,True,True,SYNTHETIC_SIMULATED
MPLAD-RA-2024-0010,Hon. Member of Parliament (Jaipur Parliamentary),Rajasthan,Jaipur,Jaipur Parliamentary,Construction of Community RO Water Filtration Plant at Shivaji Nagar,Drinking Water & Tube Wells,Standard infrastructure project under MPLADS guidelines for drinking water & tube wells to improve citizen access and public amenity.,2024-02-21,2024-03-28,2024-04-28,2024-11-15,,IN_PROGRESS,917000.0,917000.0,815213.0,82.9,88.9,26.94556,75.76624,Gram Shastri Colony,Ward 21,Jaipur Block 3,Public Health Engineering Department (PHED),Registered Contractor V-171 Pvt Ltd,2026-07-17,False,True,False,True,True,SYNTHETIC_SIMULATED
MPLAD-UT-2024-0011,Hon. Member of Parliament (Lucknow Parliamentary),Uttar Pradesh,Lucknow,Lucknow Parliamentary,"Construction of CC Road from Bus Stand to Hanuman Chowk, Ward 4",Road Works,Standard infrastructure project under MPLADS guidelines for road works to improve citizen access and public amenity.,2024-01-26,2024-03-07,2024-03-22,2024-09-03,,IN_PROGRESS,1758000.0,1758000.0,938772.0,60.3,53.4,26.846228,80.90918,Gram Navodaya Vidyalaya,Ward 11,Lucknow Block 1,Public Works Department (PWD) Rural,Registered Contractor V-129 Pvt Ltd,2026-07-19,False,False,False,True,True,SYNTHETIC_SIMULATED
MPLAD-MA-2024-0012,Hon. Member of Parliament (Nagpur Parliamentary),Maharashtra,Nagpur,Nagpur Parliamentary,"Construction of Separate Girls Sanitation Facility at Govt High School, Hanuman Chowk",School Infrastructure & Classrooms,Standard infrastructure project under MPLADS guidelines for school infrastructure & classrooms to improve citizen access and public amenity.,2024-02-12,2024-04-08,2024-05-11,2024-10-08,2024-10-19,COMPLETED,1415000.0,1415000.0,1421609.5,100.0,100.0,21.10307,79.09551,Gram Primary Health Center,Ward 14,Nagpur Block 4,Public Works Department (PWD) Rural,Registered Contractor V-170 Pvt Ltd,2024-09-21,True,True,True,True,True,SYNTHETIC_SIMULATED
